epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,579.675,0.50883,1.29693,1.21744,0.72467,0.6896,0.76867,0.60042,0.76951,1.16427,1.14438,0.00333114,0.00333114,0.00333114
2,1137.11,0.47724,0.92144,1.17793,0.69297,0.6252,0.73659,0.53776,0.92046,1.34294,1.20523,0.00659849,0.00659849,0.00659849
3,1691.31,0.52866,1.00221,1.21069,0.54999,0.67888,0.66528,0.46676,0.85681,1.30073,1.27693,0.00979985,0.00979985,0.00979985
4,2239.43,0.52969,1.02177,1.21442,0.75318,0.61134,0.733,0.51758,0.92316,1.22547,1.21973,0.009703,0.009703,0.009703
5,2794.02,0.48655,0.94521,1.18708,0.74577,0.61115,0.71872,0.51815,0.98766,1.32737,1.25432,0.009604,0.009604,0.009604
6,3356.91,0.45565,0.87772,1.16577,0.79635,0.70416,0.81568,0.67225,0.67988,0.94387,1.00031,0.009505,0.009505,0.009505
7,3915.52,0.43771,0.83367,1.15452,0.80856,0.7418,0.84436,0.67648,0.77494,1.01417,1.03301,0.009406,0.009406,0.009406
8,576.865,0.42276,0.7947,1.1427,0.86508,0.79842,0.88019,0.73394,0.6854,0.81852,0.96346,0.009307,0.009307,0.009307
9,1137.67,0.41292,0.77198,1.13529,0.88772,0.76988,0.88492,0.73671,0.66742,0.77459,0.96426,0.009208,0.009208,0.009208
10,1695.21,0.4036,0.74214,1.12746,0.81021,0.76816,0.85426,0.70643,0.67464,0.92339,0.9513,0.009109,0.009109,0.009109
11,2249.92,0.39413,0.71675,1.12196,0.86505,0.85193,0.91594,0.78045,0.60064,0.6444,0.88428,0.00901,0.00901,0.00901
12,2808.31,0.39069,0.70695,1.11993,0.86137,0.84665,0.91114,0.77747,0.60054,0.66444,0.86677,0.008911,0.008911,0.008911
13,3364.72,0.38026,0.68675,1.1115,0.91154,0.81334,0.91351,0.78398,0.61157,0.66556,0.90486,0.008812,0.008812,0.008812
14,580.335,0.37247,0.65585,1.1046,0.9011,0.84877,0.92595,0.80972,0.54311,0.62253,0.84179,0.008713,0.008713,0.008713
15,1162.91,0.37098,0.6509,1.10351,0.89265,0.84973,0.92723,0.79974,0.58878,0.59144,0.85085,0.008614,0.008614,0.008614
16,1740.88,0.36465,0.62935,1.09854,0.90239,0.835,0.92601,0.80291,0.56755,0.6153,0.84694,0.008515,0.008515,0.008515
17,2315.42,0.36054,0.61464,1.09604,0.92382,0.84878,0.93408,0.81266,0.56183,0.55477,0.84459,0.008416,0.008416,0.008416
18,2882.43,0.35852,0.61338,1.09428,0.88536,0.87459,0.9331,0.81129,0.57398,0.61088,0.84802,0.008317,0.008317,0.008317
18,585.204,0.34987,0.5853,1.08745,0.89319,0.85554,0.92289,0.80309,0.56856,0.60126,0.85434,0.008317,0.008317,0.008317
19,1165.5,0.3494,0.58664,1.08702,0.9335,0.84741,0.93766,0.81753,0.59317,0.57193,0.86791,0.008218,0.008218,0.008218
20,1755.68,0.3455,0.56753,1.08316,0.91535,0.83988,0.9278,0.80789,0.56189,0.60134,0.83624,0.008119,0.008119,0.008119
21,2343.85,0.34194,0.55681,1.08039,0.94017,0.83253,0.93547,0.8205,0.54435,0.56314,0.81364,0.00802,0.00802,0.00802
22,2935.35,0.35069,0.58962,1.08966,0.9135,0.86915,0.93322,0.82776,0.52598,0.57721,0.80511,0.007921,0.007921,0.007921
